 # Cas A
 -0.12296035656853872       0.52181323110444056     
 -0.13520187579058338       0.51091385775663700     
 -0.14717633654054960       0.49896703139911580     
 -0.15885911581250053       0.48599021571419976     
 -0.17022595260093587       0.47200287657266227     
 -0.18125299870209188       0.45702656927962804     
 -0.19191687309453359       0.44108502532027094     
 -0.20219471973198888       0.42420423641058019     
 -0.21206426849410870       0.40641253344028544     
 -0.22150389895457312       0.38774065770039889     
 -0.23049270654237844       0.36822182162986877     
 -0.23901057059297304       0.34789175620887713     
 -0.24703822371292530       0.32678874208526920     
 -0.25455732181674862       0.30495362156009298     
 -0.26155051413905883       0.28242978869154306     
 -0.26800151248096038       0.25926315501448194     
 -0.27389515891784555       0.23550208872209730     
 -0.27921749117781841       0.21119732561902746     
 -0.28395580489662520       0.18640185072723647     
 -0.28809871196687620       0.16117075009593584     
 -0.29163619422671677       0.13556103311664397     
 -0.29455965177580928       0.10963142644879309     
 -0.29686194526399312       8.34421414888113083E-002
 -0.29853743156937085       5.70546181304314379E-002
 -0.29958199236651900       3.05312483277474442E-002
 -0.29999305518038355       3.93508364694620388E-003
 -0.29976960662521263      -2.26704684578176822E-002
 -0.29891219763836929      -4.92219545142562817E-002
 -0.29742294063361491      -7.56561856996171983E-002
 -0.29530549861489541      -0.10191054392991292     
 -0.29256506640718222      -0.12792327815698973     
 -0.28920834427292985      -0.15363378600395550     
 -0.28524350428872913      -0.17898287637603735     
 -0.28068014995445606      -0.20391300932491910     
 -0.27552926959458163      -0.22836851018586590     
 -0.26980318418655919      -0.25229575581071279     
 -0.26351549031292787      -0.27564333154745085     
 -0.25668099898092572      -0.29836215843182706     
 -0.24931567108534428      -0.32040559082521752     
 -0.24143655030682709      -0.34172948542887183     
 -0.23306169423894255      -0.36229224320705500     
 -0.22421010452363907      -0.38205482624741299     
 -0.21490165674693121      -0.40098075196986527     
 -0.20515703080596556      -0.41903606736566629     
 -0.19499764240631404      -0.43618930611154427     
 -0.18444557628595401      -0.45241143146977181     
 -0.17352352169157489      -0.46767576786630949     
 -0.16225471055532806      -0.48195792395013948     
 -0.15066285873767599      -0.49523570979249132     
 -0.13877211061634634      -0.50748905069944350     
 -0.12660698721425717      -0.51869989989889365     
 -0.11419233797226673      -0.52885215213510950     
 -0.10155329618722127      -0.53793155997113518     
 -8.87152380534107360E-002 -0.54592565436937335     
 -7.57037451674349715E-002 -0.55282367089986251     
 -6.25445702837339190E-002 -0.55861648271839903     
 -4.92636060415974908E-002 -0.56329654126529050     
 -3.58868563251590195E-002 -0.56685782546125363     
 -2.24404098663700605E-002 -0.56929580001958113     
 -8.95041565780946811E-003 -0.57060738335196870     
  4.55694029216628139E-003 -0.57079092541723520     
  1.80554573546382949E-002 -0.56984619574487771     
  3.15189423342601763E-002 -0.56777438175581174     
  4.49212316972046957E-002 -0.56457809739728304     
  5.82362144845862753E-002 -0.56026140200416497     
  7.14378564102580438E-002 -0.55482982919103363     
  8.45002256196941831E-002 -0.54829042546498963     
  9.73975205552618517E-002 -0.54065179812489805     
  0.11010410033286139      -0.53192417187565955     
  0.12259451798607243      -0.52211945343401456     
  0.13484355687710275      -0.51125130323367529     
  0.14682627050963459      -0.49933521315172602     
  0.15851802590786851      -0.48638858897586446     
  0.16989455064958839      -0.47243083611524117     
  0.18093198355996132      -0.45748344683009584     
  0.19160692898824355      -0.44157008702262474     
  0.20189651450292170      -0.42471668040103971     
  0.21177845175354790      -0.40695148761008404     
  0.22123110016120981      -0.38830517772576140     
  0.23023353301588781      -0.36881088935278483     


 # Cas B
  0.90000000000000002        0.0000000000000000     
  0.89941248405225738       0.10769772618760963     
  0.89765255900395402       0.21438478690256296     
  0.89472805603433758       0.31912047522151210     
  0.89065191665350307       0.42109191229512777     
  0.88544202964547891       0.51965146526947248     
  0.87912100792509906       0.61433106247143887     
  0.87171591029821138       0.70483607452123698     
  0.86325791426883391       0.79102469587611601     
  0.85378194695718668       0.87287959619848610     
  0.84332628185607938       0.95047764333001594     
  0.83193210955830366        1.0239617024586891     
  0.81964309074277775        1.0935166870486703     
  0.80650489962575922        1.1593506066956811     
  0.79256476578444235        1.2216804381164146     
  0.77787102176901979        1.2807221688299750     
