 # Resultados apartado 1:
  0.238761043549E+01  0.304585670640E+02  0.118252740236E+02
  0.245044231415E+01  0.311767073703E+02  0.110112631671E+02
  0.251327419281E+01  0.318422832742E+02  0.101537719426E+02
  0.257610607147E+01  0.324526680497E+02  0.925620838649E+01
  0.263893795013E+01  0.330054527849E+02  0.832211477485E+01
  0.270176982880E+01  0.334984558892E+02  0.735517755146E+01
  0.276460170746E+01  0.339297317030E+02  0.635921277890E+01
  0.282743358612E+01  0.342975781763E+02  0.533815107831E+01
  0.289026546478E+01  0.346005435860E+02  0.429602211703E+01
  0.295309734344E+01  0.348374322650E+02  0.323693870531E+01
  0.301592922211E+01  0.350073093212E+02  0.216507850565E+01
  0.307876086235E+01  0.351095040682E+02  0.108467783376E+01
  0.314159274101E+01  0.351436139648E+02 -0.151019615453E-05
  0.320442461967E+01  0.351095038784E+02 -0.108468495865E+01
  0.326725649834E+01  0.350073084259E+02 -0.216508764763E+01
  0.333008837700E+01  0.348374309264E+02 -0.323694571785E+01
  0.339292025566E+01  0.346005418095E+02 -0.429602903173E+01
  0.345575213432E+01  0.342975759688E+02 -0.533815786789E+01
  0.351858401299E+01  0.339297290732E+02 -0.635921941656E+01
  0.358141589165E+01  0.334984528475E+02 -0.735518401101E+01
  0.364424777031E+01  0.330054493434E+02 -0.832210345766E+01
  0.370707941055E+01  0.324526664302E+02 -0.925619513696E+01
  0.376991128922E+01  0.318422814977E+02 -0.101537743862E+02
  0.383274316788E+01  0.311767054438E+02 -0.110112654944E+02
  0.389557504654E+01  0.304585649951E+02 -0.118253001328E+02
  0.395840692520E+01  0.296906943262E+02 -0.125926656761E+02
  0.402123880386E+01  0.288761238744E+02 -0.133103336806E+02
  0.408407068253E+01  0.280180683797E+02 -0.139754718361E+02
  0.414690256119E+01  0.271199141978E+02 -0.145854551442E+02
  0.420973443985E+01  0.261852059360E+02 -0.151378762775E+02
  0.427256631851E+01  0.252176324636E+02 -0.156305550802E+02
  0.433539819717E+01  0.242210123543E+02 -0.160615471727E+02
  0.439823007584E+01  0.231992788155E+02 -0.164291516248E+02
  0.446106195450E+01  0.221564641659E+02 -0.167319176683E+02
  0.452389383316E+01  0.210966839220E+02 -0.169686504232E+02
  0.458672571182E+01  0.200241205556E+02 -0.171384156125E+02
  0.464955759048E+01  0.189430069877E+02 -0.172404776575E+02
  0.471238899231E+01  0.178576181258E+02 -0.172745648214E+02
  0.477522087097E+01  0.167722210383E+02 -0.172405427070E+02
  0.483805274963E+01  0.156911075216E+02 -0.171384145285E+02
  0.490088462830E+01  0.146185442403E+02 -0.169686488025E+02
  0.496371650696E+01  0.135587641149E+02 -0.167319155174E+02
  0.502654838562E+01  0.125159496171E+02 -0.164291489520E+02
  0.508938026428E+01  0.114942162624E+02 -0.160615439888E+02
  0.515221214294E+01  0.104975963690E+02 -0.156305513976E+02
  0.521504402161E+01  0.953002314350E+01 -0.151378721107E+02
  0.527787590027E+01  0.859531515843E+01 -0.145854505098E+02
  0.534070777893E+01  0.769716128220E+01 -0.139754667523E+02
  0.540353965759E+01  0.683910612073E+01 -0.133103281674E+02
  0.546637153625E+01  0.602453602848E+01 -0.125926597554E+02
  0.552920341492E+01  0.525666574410E+01 -0.118252938279E+02
  0.559203529358E+01  0.453852570324E+01 -0.110112588301E+02
  0.565486717224E+01  0.387295007888E+01 -0.101537673889E+02
  0.571769905090E+01  0.326256559607E+01 -0.925620363395E+01
  0.578053092957E+01  0.270978116547E+01 -0.832210984231E+01
  0.584336280823E+01  0.221677837645E+01 -0.735517245838E+01
  0.590619468689E+01  0.178550288738E+01 -0.635920754538E+01
  0.596902656555E+01  0.141765674697E+01 -0.533814572501E+01
  0.603185844421E+01  0.111469167707E+01 -0.429600437428E+01
  0.609468984604E+01  0.877804887864E+00 -0.323692495532E+01
  0.615752172470E+01  0.707927669705E+00 -0.216508315277E+01
  0.622035360336E+01  0.605732500754E+00 -0.162648654602E+01


 # Resultados apartado 2:
  0.295000009611E+01  0.348273186421E+02


 # Resultados apartado 3:
  0.000000000000E+00  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.941250026226E+00  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.188250005245E+01  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.282375001907E+01  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.376500010490E+01  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.470625019073E+01  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
